# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458750.78589 15.363 0.002 1
2458750.80572 15.373 0.002 2
2458751.77950 15.376 0.002 2
2458751.80503 15.360 0.002 2
2458754.65047 15.371 0.001 2
2458757.78730 15.372 0.002 1
2458757.79024 15.362 0.002 2
2458757.80383 15.373 0.002 2
2458758.78344 15.356 0.001 2
2458758.80115 15.371 0.001 2
2458758.81947 15.358 0.001 2
2458759.77879 15.388 0.002 2
2458759.79843 15.365 0.001 2
2458760.77198 15.377 0.001 1
2458760.77346 15.369 0.001 2
2458760.78183 15.372 0.001 2
2458760.81421 15.367 0.001 2
2458761.71327 15.374 0.002 2
2458762.62248 15.367 0.002 2
2458762.63074 15.393 0.002 2
2458763.75792 15.368 0.002 2
2458763.76721 15.363 0.002 1
2458763.77661 15.340 0.002 2
2458763.79991 15.392 0.002 2
2458765.69333 15.370 0.002 2
2458766.62286 15.371 0.003 1
2458766.62377 15.365 0.003 2
2458766.69090 15.383 0.003 2
2458767.68878 15.381 0.005 2
2458767.69578 15.370 0.003 2
2458768.70598 15.370 0.003 2
2458769.60381 15.356 0.003 2
2458769.62088 15.354 0.003 1
2458769.62377 15.364 0.003 2
2458770.74665 15.361 0.003 2
2458770.75782 15.352 0.003 2
2458771.59950 15.370 0.002 2
2458771.76024 15.376 0.003 2
2458771.78353 15.373 0.003 2
2458776.69880 15.358 0.002 1
2458779.71416 15.355 0.002 1
2458782.69075 15.355 0.002 1
2458785.73913 15.382 0.002 1
2458791.62543 15.390 0.002 1
2458792.64104 15.401 0.002 1
2458794.61088 15.372 0.002 1
2458797.58885 15.351 0.002 1
2458799.72068 15.359 0.004 1
2458800.76984 15.370 0.004 1
2458803.57493 15.421 0.030 1
2458811.61535 15.283 0.003 1
2458814.64414 15.387 0.003 1
2458819.60500 15.381 0.005 1
2458820.59207 15.430 0.011 1
2458829.57352 15.375 0.004 1
2458833.57511 15.373 0.002 1
2458839.57368 15.372 0.049 1
2458851.59562 15.393 0.012 1
2458854.61026 15.381 0.005 1
2458872.59041 15.355 0.003 2
2458872.59541 15.387 0.004 2
2458872.60040 15.371 0.003 2
2458872.60539 15.361 0.004 2
2458942.02341 15.350 0.005 1
2458964.94979 15.370 0.002 1
2458968.91662 15.350 0.002 1
2458972.93069 15.371 0.002 1
2458975.94179 15.351 0.003 1
2458978.98875 15.317 0.004 1
2458981.94982 15.361 0.002 1
2458992.95594 15.359 0.001 1
2458993.97936 15.360 0.001 1
2458995.97395 15.367 0.001 1
2458998.96845 15.357 0.001 1
2459001.94952 15.367 0.002 1
2459013.84550 15.372 0.002 1
2459016.96801 15.368 0.001 1
2459023.89953 15.367 0.001 3
2459023.89999 15.371 0.001 3
2459023.90047 15.351 0.001 3
2459023.90093 15.349 0.001 3
2459023.90139 15.352 0.001 3
2459023.90187 15.354 0.001 3
2459023.90233 15.362 0.001 3
2459023.90281 15.364 0.001 3
2459023.90327 15.385 0.001 3
2459023.90374 15.358 0.001 3
2459023.90421 15.371 0.001 3
2459023.90467 15.357 0.001 3
2459023.90515 15.346 0.001 3
2459023.90562 15.354 0.001 3
2459023.90608 15.352 0.001 3
2459023.90656 15.358 0.001 3
2459023.90702 15.373 0.001 3
2459023.90749 15.360 0.001 3
2459023.90796 15.391 0.001 3
2459023.90842 15.389 0.001 3
2459023.90890 15.349 0.001 3
2459023.90937 15.361 0.001 3
2459023.90983 15.362 0.001 3
2459023.91030 15.374 0.001 3
2459023.91077 15.368 0.001 3
2459023.91123 15.383 0.001 3
2459023.91171 15.374 0.001 3
2459023.91217 15.377 0.001 3
2459023.91263 15.350 0.001 3
2459023.91311 15.363 0.001 3
2459023.91357 15.381 0.001 3
2459023.91405 15.358 0.001 3
2459023.91452 15.378 0.001 3
2459023.91498 15.373 0.001 3
2459023.91546 15.363 0.001 3
2459023.91592 15.346 0.001 3
2459023.91640 15.366 0.001 3
2459023.91686 15.356 0.001 3
2459023.91733 15.381 0.001 3
2459023.91780 15.375 0.001 3
2459023.91827 15.353 0.001 3
2459023.91873 15.360 0.001 3
2459023.91920 15.361 0.001 3
2459023.91967 15.352 0.001 3
2459023.92013 15.362 0.001 3
2459023.92061 15.335 0.001 3
2459023.92107 15.344 0.001 3
2459023.92154 15.381 0.001 3
2459023.92201 15.365 0.001 3
2459023.92247 15.352 0.001 3
2459023.92295 15.370 0.001 3
2459023.92341 15.358 0.001 3
2459023.92387 15.364 0.001 3
2459023.92435 15.363 0.001 3
2459023.92481 15.372 0.001 3
2459023.92529 15.385 0.001 3
2459023.92575 15.347 0.001 3
2459023.92622 15.352 0.001 3
2459023.92669 15.348 0.001 3
2459023.92715 15.375 0.001 3
2459023.92762 15.360 0.001 3
2459023.92809 15.362 0.001 3
2459023.92855 15.344 0.001 3
2459023.92902 15.359 0.001 3
2459023.92949 15.362 0.001 3
2459023.92996 15.365 0.001 3
2459023.93044 15.363 0.001 3
2459023.93090 15.361 0.001 3
2459023.93136 15.358 0.001 3
2459023.93184 15.367 0.001 3
2459023.93230 15.358 0.001 3
2459023.93277 15.368 0.001 3
2459023.93324 15.376 0.001 3
2459023.93370 15.375 0.001 3
2459023.93417 15.363 0.001 3
2459023.93464 15.363 0.001 3
2459023.93511 15.388 0.001 3
2459023.93559 15.355 0.001 3
2459023.93605 15.387 0.001 3
2459023.93651 15.360 0.001 3
2459023.93699 15.367 0.001 3
2459023.93745 15.358 0.001 3
2459023.93793 15.352 0.001 3
2459023.93839 15.355 0.001 3
2459023.93885 15.340 0.001 3
2459023.93933 15.354 0.001 3
2459023.93979 15.344 0.001 3
2459023.94026 15.363 0.001 3
2459023.94073 15.345 0.001 3
2459023.94120 15.366 0.001 3
2459023.94166 15.377 0.001 3
2459023.94214 15.368 0.001 3
2459023.94260 15.380 0.001 3
2459023.94308 15.368 0.001 3
2459023.94354 15.365 0.001 3
2459023.94401 15.376 0.001 3
2459023.94448 15.357 0.001 3
