# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2458668.94728 15.904 0.002 1
2458669.94670 15.910 0.001 2
2458669.97757 15.911 0.002 2
2458670.93763 15.914 0.001 2
2458670.94255 15.902 0.002 2
2458672.84462 15.901 0.002 2
2458672.92877 15.909 0.002 2
2458673.85754 15.907 0.002 2
2458673.96479 15.905 0.002 2
2458674.93054 15.909 0.002 2
2458674.93145 15.900 0.002 1
2458676.92826 15.893 0.002 2
2458678.92952 15.910 0.002 2
2458679.83984 15.899 0.005 2
2458680.95063 15.898 0.006 1
2458688.82749 15.903 0.003 2
2458688.96098 15.939 0.004 2
2458690.80657 15.886 0.002 1
2458691.80139 15.911 0.002 2
2458691.83172 15.882 0.002 2
2458691.94851 15.872 0.002 2
2458692.86249 15.888 0.002 2
2458693.80240 15.884 0.002 2
2458693.83027 15.895 0.002 2
2458693.83118 15.909 0.002 1
2458693.90766 15.903 0.002 2
2458695.88465 15.912 0.002 2
2458695.90157 15.917 0.002 2
2458695.92266 15.890 0.002 2
2458696.90920 15.915 0.001 1
2458696.91104 15.907 0.002 2
2458696.92306 15.900 0.002 2
2458697.98193 15.910 0.002 2
2458698.94803 15.896 0.002 2
2458699.93423 15.839 0.003 1
2458699.93513 15.891 0.002 2
2458699.94850 15.899 0.002 2
2458700.97925 15.897 0.002 2
2458701.87812 15.898 0.002 2
2458701.94698 15.892 0.003 2
2458703.83618 15.904 0.002 2
2458703.87621 15.907 0.002 1
2458703.87713 15.893 0.002 2
2458704.89495 15.897 0.002 2
2458704.90798 15.919 0.002 2
2458705.92096 15.915 0.002 2
2458706.93698 15.904 0.002 1
2458706.93789 15.904 0.002 2
2458706.94986 15.909 0.002 2
2458706.98483 15.908 0.002 2
2458707.90821 15.901 0.003 2
2458707.93546 15.907 0.003 2
2458707.96412 15.899 0.002 2
2458708.93237 15.911 0.004 2
2458708.95060 15.902 0.004 2
2458708.96943 15.910 0.003 2
2458709.94818 15.897 0.005 1
2458710.70120 15.880 0.008 1
2458711.70060 15.864 0.007 1
2458711.76293 15.886 0.006 2
2458714.70122 15.897 0.003 1
2458715.78551 15.880 0.003 1
2458716.80596 15.900 0.003 1
2458717.74921 15.919 0.003 2
2458717.78545 15.894 0.002 1
2458717.88735 15.898 0.003 2
2458718.80648 15.911 0.002 1
2458718.90544 15.915 0.003 2
2458719.74613 15.932 0.003 2
2458719.78613 15.895 0.002 1
2458719.81010 15.909 0.002 2
2458720.80563 15.909 0.002 1
2458720.90904 15.898 0.002 2
2458721.74952 15.920 0.003 2
2458722.78541 15.911 0.002 1
2458722.90975 15.890 0.002 2
2458723.80862 15.907 0.002 1
2458723.91882 15.891 0.002 2
2458723.92827 15.926 0.002 2
2458724.77682 15.879 0.002 2
2458724.80868 15.898 0.002 1
2458724.92988 15.908 0.002 2
2458725.78380 15.910 0.002 1
2458725.82430 15.899 0.002 2
2458725.87758 15.923 0.002 2
2458725.88487 15.899 0.002 2
2458726.78523 15.922 0.002 1
2458727.77043 15.890 0.002 2
2458727.80835 15.899 0.002 1
2458727.90743 15.903 0.002 2
2458730.78440 15.870 0.003 1
2458732.78294 15.862 0.003 1
2458732.80973 15.908 0.002 2
2458732.89128 15.907 0.002 2
2458732.90687 15.913 0.002 2
2458733.78252 15.895 0.003 1
2458733.82517 15.916 0.002 2
2458734.78381 15.897 0.003 1
2458734.88436 15.929 0.003 2
2458734.90212 15.918 0.002 2
2458735.78240 15.910 0.004 1
2458735.93140 15.905 0.003 2
2458736.79211 15.896 0.004 1
2458736.81611 15.911 0.004 2
2458737.80507 15.911 0.006 1
2458737.88113 15.910 0.006 2
2458737.94730 15.913 0.008 2
2458738.93718 15.895 0.008 2
2458740.63492 15.885 0.008 2
2458741.65113 15.904 0.004 2
2458742.63481 15.904 0.009 2
2458743.63439 15.918 0.002 2
2458743.89131 15.908 0.008 2
2458743.89222 15.910 0.008 1
2458746.64446 15.926 0.002 2
2458747.78480 15.905 0.002 2
2458747.78663 15.906 0.002 1
2458747.80932 15.891 0.003 2
2458747.83912 15.907 0.003 2
2458749.75564 15.917 0.002 2
2458749.83837 15.909 0.002 2
2458751.76703 15.915 0.002 2
2458754.76187 15.904 0.002 2
2458754.78100 15.903 0.002 2
2458754.78249 15.905 0.002 1
2458757.69491 15.911 0.002 2
2458758.84214 15.916 0.003 2
2458759.75953 15.908 0.002 2
2458760.84406 15.939 0.003 2
2458761.76003 15.903 0.002 2
2458761.77899 15.920 0.002 2
2458762.75781 15.921 0.003 2
2458762.77600 15.922 0.003 2
2458762.79782 15.918 0.002 2
2458763.63207 15.883 0.003 2
2458763.70910 15.925 0.003 2
2458764.75836 15.902 0.003 2
2458764.78213 15.904 0.004 2
2458765.75443 15.898 0.004 2
2458765.75542 15.907 0.004 2
2458765.77762 15.903 0.004 2
2458766.69795 15.910 0.005 2
2458766.74628 15.912 0.005 2
2458766.75356 15.905 0.005 1
2458766.76129 15.900 0.005 2
2458767.77034 15.907 0.012 2
2458768.75505 15.897 0.007 2
2458768.77708 15.896 0.006 2
2458769.70053 15.904 0.006 1
2458769.70144 15.897 0.005 2
2458769.74758 15.901 0.006 2
2458769.75825 15.904 0.005 2
2458770.68803 15.917 0.006 2
2458771.62709 15.890 0.005 2
2458771.68945 15.926 0.005 2
2458771.70490 15.910 0.006 2
2458773.62845 15.901 0.003 1
2458776.69068 15.914 0.002 1
2458779.69019 15.901 0.002 1
2458782.71670 15.910 0.002 1
2458788.68764 15.912 0.003 1
2458791.67575 15.913 0.003 1
2458791.67620 15.915 0.003 1
2458794.67474 15.912 0.004 1
2458795.64094 15.898 0.005 1
2458796.66702 15.893 0.005 1
2458797.64829 15.892 0.006 1
2458797.69726 15.894 0.005 1
2458798.64450 15.933 0.006 1
2458803.58813 15.881 0.014 1
2458811.59191 15.924 0.002 1
2458814.59596 15.959 0.005 1
2458820.63196 15.910 0.015 1
2458829.59333 15.876 0.010 1
2458833.61120 15.915 0.003 1
2458834.61712 15.916 0.004 2
2458836.62249 15.927 0.003 1
2458851.61032 15.911 0.012 1
2458861.59009 15.918 0.004 1
2458941.98469 15.916 0.005 1
2458964.97126 15.894 0.002 1
2458968.97265 15.883 0.002 1
2458972.97631 15.896 0.002 1
2458978.95079 15.890 0.009 1
2458981.96445 15.924 0.004 1
2458986.92989 15.903 0.002 1
2458992.96866 15.901 0.002 1
2458995.84896 15.899 0.003 1
2458998.92655 15.879 0.002 1
2459001.90640 15.895 0.004 1
2459010.96899 15.903 0.003 1
