 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 426 4 3 ZTF_r 502253351515 0 2.8374 250.727 5.32402 26.099 5.7283e-06 0.0268006 0.108973 1.0244e-05 732 30. 0.061927 0.051129 20.2263 26.099 1 2458256.7533565 426120215 -92.9326000815534 40.6480544189974 -2.54321528948645 0.971663570163142 -191.974908661489 63.4516400223167 -3.04590820108997 1.08249184652495 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 20 426 4 3 ZTF_r 502273851515 0 2.0562 251.432 5.25157 26.0993 3.9986e-06 0.022427 0.096543 7.16521e-06 735 30. 0.049931 0.045619 20.4804 26.0993 2 2458256.7738542 426120215 296.082934543385 32.7868778653784 10.0454203548502 5.25276789522762 937.471552470142 60.5555406744795 15.5854520792202 1.04663964031368 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 21 426 4 3 ZTF_r 502293491515 0 3.9857 247.807 5.31254 26.0989 6.9816e-06 0.0292512 0.115463 1.26792e-05 718 30. 0.082162 0.061103 19.9987 26.0989 1 2458256.7934954 426120215 2.98530242913106 43.5966765459641 0.0761710166204229 1.04781806706341 102.352455186465 61.6535750646256 1.67130299829289 1.12828793374672 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 22 426 4 3 ZTF_r 505271681515 32 8.0177 18.5696 8.5139 23.3021 0.000323031 0.0666531 0.09684 0.000772178 107 30. 0.075978 0.068444 16.8613 23.3021 1 2458259.7716898 426120215 71.9086462880716 56.7361731139001 1.40985962997501 0.898204259387001 82.8527299256723 85.2074345122258 0.978913968084297 1.09945479211635 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 23 426 4 3 ZTF_i 507254601515 0 2.3039 325.329 7.99165 25.3895 4.0256e-06 0.0332734 0.19612 2.3726e-05 732 30. 0.069971 0.056436 19.365 25.3895 2 2458261.7546065 426120315 -2.11331181055818 40.0217371163735 -0.058738445156417 0.930529043951507 -78.2817944695148 73.9742457314719 -1.06535762656211 1.04419443581107 1.83215108899382 18.7479998207092 0.128000006079674 5.86299991607666 0.675999999046326 2458274.866667 2459295.855810 0
 24 426 4 3 ZTF_g 508262401515 0 2.0342 136.766 11.542 26.1504 1.43502e-05 0.0389806 -0.00864031 3.10433e-05 617 30. 0.05861 0.051905 19.8653 26.1504 1 2458262.7624074 426120115 70.4371937507719 53.9926604121142 1.45118278893276 1.05179582299969 -69.7707493392177 96.2787968736942 -0.7295548098967 1.07010980493605 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 25 426 4 3 ZTF_r 508299491515 0 10.6635 243.14 10.85 26.0685 1.4126e-05 0.041616 0.111852 2.51644e-05 718 30. 0.080796 0.053226 19.4101 26.0685 1 2458262.7994907 426120215 13.9676329019613 74.0209150647482 0.209905183701075 0.987265994195007 -4.86373086971753 112.742819097286 -0.0434306008681067 1.10803431459112 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 26 426 4 3 ZTF_g 513210471515 0 2.0401 136.122 21.294 26.1519 3.18635e-05 0.0442634 -0.0103633 8.41718e-05 406 30. 0.060994 0.047301 19.0487 26.1519 1 2458267.7104745 426120115 -120.271693580391 105.086356502548 -1.27312748154177 1.00104929476659 -78.2304785192945 187.835077975271 -0.419289975770522 1.06323651408792 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
 27 426 4 3 ZTF_r 516296701515 0 2.1901 238.707 10.633 26.0392 8.9224e-06 0.033044 0.106132 1.5932e-05 715 30. 0.057197 0.058168 19.6466 26.0392 1 2458270.7967014 426120215 62.1232406856859 54.3660408399027 1.27110432627607 1.00010217352724 100.549077596927 95.1379607992844 1.06399465123269 1.05673140934322 1.35058140628156 19.2550000190735 0.138999998569489 4.20599985122681 0.432000011205673 2458185.932928 2458336.694120 0
 28 426 4 3 ZTF_g 519235601515 0 2.0485 139.221 4.72101 26.2003 7.1139e-06 0.0294351 -0.0605521 1.27489e-05 707 30. 0.05101 0.053211 20.708 26.2003 1 2458273.7356019 426120115 -8.32732566183173 26.8442847482652 -0.345071040502214 1.0892468823701 3.1194537327118 50.2315176894456 0.0625197799615551 1.04374745623579 0.931662107318574 19.5220000267029 0.10700000077486 4.03200006484985 0.541999995708466 2458204.840197 2458336.672257 0
